Focus ID; Focus Name; Focus Description; Notes
SMI_the_great_lake_workers_commune;[null];[null];Missing description (no localization key exists);
SMI_the_battle_for_cleveland;[null];[null];Missing description (no localization key exists);
SMI_Great_Lakes_Domination;[null];[null];Missing description (no localization key exists);
SMI_expand_toledo;[null];[null];Missing description (no localization key exists);
SMI_Female_Branch_Of_Legion;[null];[null];Missing description (no localization key exists);
SMI_One_Million_Legionnaires;[null];[null];Missing description (no localization key exists);
SMI_infiltrate_unions;[null];[null];Missing description (no localization key exists);
SMI_Du_Pont_Parashoots;[null];[null];Missing description (no localization key exists);
SMI_Expand_Jeep_Program;[null];[null];Missing description (no localization key exists);
SMI_Expanding_War_Effort;[null];[null];Missing description (no localization key exists);
SMI_Anti_Catholic_Propaganda;[null];[null];Missing description (no localization key exists);
SMI_SMI_Tank_Improvement;[null];[null];Missing description (no localization key exists);
SMI_form_the_second_motorgroup;[null];[null];Missing description (no localization key exists);
SMI_Trial_Of_Dayton_Dean;[null];[null];Missing description (no localization key exists);
SMI_construct_lansing_proletarian_clubs;[null];[null];Missing description (no localization key exists);
SMI_democrats_win;[null];[null];Missing description (no localization key exists);
SMI_Expand_The_Service_Men;[null];[null];Missing description (no localization key exists);
SMI_Promote_Harry_Bennett;[null];[null];Missing description (no localization key exists);
SMI_Expand_Our_Alliance_With_KKK;[null];[null];Missing description (no localization key exists);
SMI_Pirate_Battleships;[null];[null];Missing description (no localization key exists);
SMI_the_economy_of_the_Soviets;[null];[null];Missing description (no localization key exists);
SMI_Vigilantism_Promoted;[null];[null];Missing description (no localization key exists);
SMI_focus_on_the_western_fleet;[null];[null];Missing description (no localization key exists);
SMI_anti_persecution_act_focus;[null];[null];Missing description (no localization key exists);
SMI_expand_the_university_of_michigan;[null];[null];Missing description (no localization key exists);
SMI_central_trade_union_council;[null];[null];Missing description (no localization key exists);
SMI_Legion_Of_Doom;[null];[null];Missing description (no localization key exists);
SMI_Republish_The_International_Jew;[null];[null];Missing description (no localization key exists);
SMI_mass_mobilization_army;[null];[null];Missing description (no localization key exists);
SMI_Ford_Mercury_Dominance;[null];[null];Missing description (no localization key exists);
SMI_Black_Bombers;[null];[null];Missing description (no localization key exists);
SMI_naval_range_focus;[null];[null];Missing description (no localization key exists);
SMI_focus_on_the_eastern_fleet;[null];[null];Missing description (no localization key exists);
SMI_crackdown_on_the_bourgeoisie;[null];[null];Missing description (no localization key exists);
SMI_Legion_Of_Terror;[null];[null];Missing description (no localization key exists);
SMI_Promote_Smugglers;[null];[null];Missing description (no localization key exists);
SMI_detroit_coastal_highway;[null];[null];Missing description (no localization key exists);
SMI_michigan_infrastructure_programs;[null];[null];Missing description (no localization key exists);
SMI_michigan_toiler_army;[null];[null];Missing description (no localization key exists);
SMI_Attract_More_Workers_To_Rouge_Complex;[null];[null];Missing description (no localization key exists);
SMI_traverse_city_dockyards;[null];[null];Missing description (no localization key exists);
SMI_invite_illinois;[null];[null];Missing description (no localization key exists);
SMI_raise_great_lakes_fishing_boats;[null];[null];Missing description (no localization key exists);
SMI_Legion_Mechanization;[null];[null];Missing description (no localization key exists);
SMI_Decrease_Robes_and_Handgun_Price;[null];[null];Missing description (no localization key exists);
SMI_Legionary_Commandos;[null];[null];Missing description (no localization key exists);
SMI_Ford_Service_Department_Expansion;[null];[null];Missing description (no localization key exists);
SMI_the_department_of_consumer_electronics;[null];[null];Missing description (no localization key exists);
SMI_Fanatical_Ideologicalism;[null];[null];Missing description (no localization key exists);
SMI_no_mercy_for_political_traitors;[null];[null];Missing description (no localization key exists);
SMI_Henry_Ford_II_Inheritance;[null];[null];Missing description (no localization key exists);
SMI_expansion_of_Flint;[null];[null];Missing description (no localization key exists);
SMI_hydraulic_brakes_Priority;[null];[null];Missing description (no localization key exists);
SMI_partnership_with_ford_army;[null];[null];Missing description (no localization key exists);
SMI_michigan_economic_rebirth;[null];[null];Missing description (no localization key exists);
SMI_A_Volitle_Disagreement;[null];[null];Missing description (no localization key exists);
SMI_fund_the_military_industral_complex;[null];[null];Missing description (no localization key exists);
SMI_Our_March_Begins;[null];[null];Missing description (no localization key exists);
SMI_democratic_centralism;[null];[null];Missing description (no localization key exists);
SMI_write_land_rights_into_law;[null];[null];Missing description (no localization key exists);
SMI_republicans_stay_in_control;[null];[null];Missing description (no localization key exists);
SMI_Du_Pont_Research_Cooperation;[null];[null];Missing description (no localization key exists);
SMI_codify_democratic_values_into_law;[null];[null];Missing description (no localization key exists);
SMI_marxist_industry;[null];[null];Missing description (no localization key exists);
SMI_ohioian_diplomacy;[null];[null];Missing description (no localization key exists);
SMI_Legion_Tank_Force;[null];[null];Missing description (no localization key exists);
SMI_Open_Fire_On_Protesters;[null];[null];Missing description (no localization key exists);
SMI_The_Statue_Of_Terror;[null];[null];Missing description (no localization key exists);
SMI_enforced_economic_security;[null];[null];Missing description (no localization key exists);
SMI_Increase_union_busting_tactics;[null];[null];Missing description (no localization key exists);
SMI_Ford_Rouge_Complex_Expansion;[null];[null];Missing description (no localization key exists);
SMI_Expand_Black_Legion_Airforce;[null];[null];Missing description (no localization key exists);
SMI_outsource_industry_development;[null];[null];Missing description (no localization key exists);
SMI_mechanization_priority;[null];[null];Missing description (no localization key exists);
SMI_1936_governmental_elections;[null];[null];Missing description (no localization key exists);
SMI_Black_Legion_Marines;[null];[null];Missing description (no localization key exists);
SMI_expansion_of_detroit;[null];[null];Missing description (no localization key exists);
SMI_the_autonomous_province_system;[null];[null];Missing description (no localization key exists);
SMI_fund_flints_auto_industry;[null];[null];Missing description (no localization key exists);
SMI_lone_Holdout_Against_The_Unionization;[null];[null];Missing description (no localization key exists);
SMI_Recruit_Mickey_Cochrane;[null];[null];Missing description (no localization key exists);
SMI_our_ground_support_is_key;[null];[null];Missing description (no localization key exists);
SMI_consolidate_control;Consolidate Control;;Empty description (localization key exists);
SMI_SMI_Ford_Weapons_Sector;[null];[null];Missing description (no localization key exists);
SMI_Expand_Our_Arsenal;[null];[null];Missing description (no localization key exists);
SMI_education_first;[null];[null];Missing description (no localization key exists);
SMI_reconstruct_the_industries;[null];[null];Missing description (no localization key exists);
SMI_the_power_of_the_jet;[null];[null];Missing description (no localization key exists);
SMI_Male_Only_Legion;[null];[null];Missing description (no localization key exists);
SMI_experamental_air_naval_warfare;[null];[null];Missing description (no localization key exists);
SMI_construct_traverse_city_proletarian_clubs;[null];[null];Missing description (no localization key exists);
SMI_handle_the_northern_threat;[null];[null];Missing description (no localization key exists);
SMI_the_next_generation_of_warfare;[null];[null];Missing description (no localization key exists);
SMI_invest_in_electronic_sciences;[null];[null];Missing description (no localization key exists);
SMI_strike_the_enemy;[null];[null];Missing description (no localization key exists);
SMI_continue_the_terror;[null];[null];Missing description (no localization key exists);
SMI_Black_Legion_Labour_Network;[null];[null];Missing description (no localization key exists);
SMI_Increasing_Wages;[null];[null];Missing description (no localization key exists);
SMI_Rouge_Tool_and_Die_works_Expansion;[null];[null];Missing description (no localization key exists);
SMI_industrial_subsides;[null];[null];Missing description (no localization key exists);
SMI_drive_farmers_into_the_factories;[null];[null];Missing description (no localization key exists);
SMI_Reach_Out_To_southern_Klans;[null];[null];Missing description (no localization key exists);
SMI_the_atom_bomb_project;[null];[null];Missing description (no localization key exists);
SMI_Revival_Of_Naval_Engine_Program;[null];[null];Missing description (no localization key exists);
SMI_ignite_the_sparks;[null];[null];Missing description (no localization key exists);
SMI_the_northern_revolution;[null];[null];Missing description (no localization key exists);
SMI_Ford_flathead_V8_Priority;[null];[null];Missing description (no localization key exists);
SMI_Only_Black_Paint;[null];[null];Missing description (no localization key exists);
SMI_invite_wisconsin;[null];[null];Missing description (no localization key exists);
SMI_reach_out_to_Minnesota;[null];[null];Missing description (no localization key exists);
SMI_Support_Black_Legion_In_Ohio;[null];[null];Missing description (no localization key exists);
SMI_fight_till_our_last_breath;[null];[null];Missing description (no localization key exists);
SMI_a_michigan_union_state;[null];[null];Missing description (no localization key exists);
SMI_cross_lake_superior;[null];[null];Missing description (no localization key exists);
SMI_Ford_Seizes_Control;[null];[null];Missing description (no localization key exists);
SMI_work_with_ford;[null];[null];Missing description (no localization key exists);
SMI_restore_the_workers_capital;[null];[null];Missing description (no localization key exists);
SMI_The_Black_Grands;[null];[null];Missing description (no localization key exists);
SMI_work_with_general_motors;[null];[null];Missing description (no localization key exists);
SMI_state_public_works;[null];[null];Missing description (no localization key exists);
SMI_Take_Assets_From_chemical_conglomerate_IG_Farben;[null];[null];Missing description (no localization key exists);
SMI_centralism_is_key;[null];[null];Missing description (no localization key exists);
SMI_great_lakes_empire;[null];[null];Missing description (no localization key exists);
SMI_Militarization_Of_Ford_Security;[null];[null];Missing description (no localization key exists);
SMI_secure_army_bases;[null];[null];Missing description (no localization key exists);
SMI_Legion_Research_League;[null];[null];Missing description (no localization key exists);
SMI_socialist_trade_policies;[null];[null];Missing description (no localization key exists);
SMI_the_treaty_of_columbus;[null];[null];Missing description (no localization key exists);
SMI_the_war_is_not_won;[null];[null];Missing description (no localization key exists);
SMI_propose_the_workers_rights_act;[null];[null];Missing description (no localization key exists);
SMI_workers_liberation_movement;[null];[null];Missing description (no localization key exists);
SMI_special_army_research_division;[null];[null];Missing description (no localization key exists);
SMI_capital_ship_priority;[null];[null];Missing description (no localization key exists);
SMI_Ford_Board_Of_Directors_Take_Over;[null];[null];Missing description (no localization key exists);
SMI_Increase_Kidnapping_Recruitment;[null];[null];Missing description (no localization key exists);
SMI_the_capture_of_toledo;[null];[null];Missing description (no localization key exists);
CHI_manufacturer_unions;Manufacturer Unions;;Empty description (localization key exists);
CHI_cities_for_the_proletariat;Cities for the Proletariat;;Empty description (localization key exists);
CHI_support_the_black_belt;Support the Black Belt;;Empty description (localization key exists);
CHI_the_boss_of_illinois;The Boss of Illinois;;Empty description (localization key exists);
CHI_lake_michigan_supply_shipments;Lake Michigan Supply Shipments;;Empty description (localization key exists);
CHI_great_lakes_shipping;Great Lakes Shipping;;Empty description (localization key exists);
CHI_develop_black_communities;Develop Black Communities;;Empty description (localization key exists);
CHI_technical_expertise;Technical Expertise;;Empty description (localization key exists);
CHI_worker_democracy;Worker Democracy;;Empty description (localization key exists);
CHI_a_mass_tank_offensive;A Mass Tank Offensive;;Empty description (localization key exists);
CHI_workers_n_peasants_red_army;Workers N Peasants Red Army;;Empty description (localization key exists);
CHI_honor_haymarket_martyrs;Honor Haymarket Martyrs;;Empty description (localization key exists);
CHI_hold_the_fort;Hold the Fort;;Empty description (localization key exists);
CHI_mass_front_offensives;Mass Front Offensives;;Empty description (localization key exists);
CHI_rapid_disassembly;Rapid Disassembly;;Empty description (localization key exists);
CHI_specialization;Specialization;;Empty description (localization key exists);
CHI_empower_the_TUUL;Empower the TUUL;;Empty description (localization key exists);
CHI_deep_battle;Deep Battle;;Empty description (localization key exists);
CHI_unshackle_the_youth;Unshackle the Youth;;Empty description (localization key exists);
CHI_red_aid_recovery;Red Aid Recovery;;Empty description (localization key exists);
CHI_central_planning;Central Planning;;Empty description (localization key exists);
CHI_power_to_the_toilers;Power to the Toilers;;Empty description (localization key exists);
CHI_proletarian_internationalism;Proletarian Internationalism;;Empty description (localization key exists);
CHI_end_redlining;End Redlining;;Empty description (localization key exists);
CHI_hold_the_line;Hold the Line;;Empty description (localization key exists);
CHI_mass_troop_transportation;Mass Troop Transportation;;Empty description (localization key exists);
CHI_women_participation_in_workforce;Women Participation in Workforce;;Empty description (localization key exists);
CHI_greatest_gang_war;Greatest Gang War;;Empty description (localization key exists);
CHI_red_volunteers;Red Volunteers;;Empty description (localization key exists);
CHI_unemployment_relief;Unemployment Relief;;Empty description (localization key exists);
CHI_forced_labor;Forced Labor;;Empty description (localization key exists);
CHI_distribute_arms_to_proletarians;Distribute Arms to Proletarians;;Empty description (localization key exists);
CHI_chicago_trials;Chicago Trials;;Empty description (localization key exists);
CHI_a_gun_in_every_mans_hand;A Gun in Every Mans Hand;;Empty description (localization key exists);
CHI_victory_day;Victory Day;;Empty description (localization key exists);
CHI_join_our_brothers;Join Our Brothers;;Empty description (localization key exists);
CHI_nationalize_caterpillar;Nationalize Caterpillar;;Empty description (localization key exists);
CHI_planned_economy;Planned Economy;;Empty description (localization key exists);
CHI_rifle_grenade_development;Rifle Grenade Development;;Empty description (localization key exists);
CHI_underground_armories;Underground Armories;;Empty description (localization key exists);
CHI_great_lakes_socialist_republic;Great Lakes Socialist Republic;;Empty description (localization key exists);
CHI_supremacy_of_the_riflemen;Supremacy of the Riflemen;;Empty description (localization key exists);
CHI_heavy_industry;Heavy Industry;;Empty description (localization key exists);
CHI_revolutionary_tribunals;Revolutionary Tribunals;;Empty description (localization key exists);
CHI_proletarian_league;Proletarian League;;Empty description (localization key exists);
CHI_further_industrialization;Further Industrialization;;Empty description (localization key exists);
CHI_steel_worker_red_guards;Steel Worker Red Guards;;Empty description (localization key exists);
CHI_artillery_research;Artillery Research;;Empty description (localization key exists);
CHI_slaughterhouse_logistics;Slaughterhouse Logistics;;Empty description (localization key exists);
CHI_urban_warfare_experts;Urban Warfare Experts;;Empty description (localization key exists);
CHI_mechanize_agriculture;Mechanize Agriculture;;Empty description (localization key exists);
CHI_underground_gunners;Underground Gunners;;Empty description (localization key exists);
CHI_democratic_centralism;Democratic Centralism;;Empty description (localization key exists);
CHI_war_communism;All In;;Empty description (localization key exists);
CHI_arms_factories;Arms Factories;;Empty description (localization key exists);
CHI_crush_the_rightists;Crush the Rightists;;Empty description (localization key exists);
CHI_metallurgical_plants;Metallurgical Plants;;Empty description (localization key exists);
CHI_new_socialist_man;New Socialist Man;;Empty description (localization key exists);
CHI_end_prohibition;End Prohibition;;Empty description (localization key exists);
CHI_crush_the_mob;Crush the Mob;;Empty description (localization key exists);
CHI_aluminium_plants;Aluminium Plants;;Empty description (localization key exists);
CHI_artillery_is_best;Artillery Is Best;;Empty description (localization key exists);
CHI_mobilize_railworkers;Mobilize Railworkers;;Empty description (localization key exists);
CHI_rifle_research;Rifle Research;;Empty description (localization key exists);
CHI_autoworker_unions;Autoworker Unions;;Empty description (localization key exists);
CHI_oppositionists_seize_power;Oppositionists Seize Power;;Empty description (localization key exists);
CHI_steel_worker_unions;Steel Worker Unions;;Empty description (localization key exists);
CHI_rail_unions;Rail Unions;;Empty description (localization key exists);
CHI_army_equality;Army Equality;;Empty description (localization key exists);
CHI_collectivize_agriculture;Collectivize Agriculture;;Empty description (localization key exists);
CHI_international_brigades;International Brigades;;Empty description (localization key exists);
CHI_attack_ultra_leftists;Attack the Nazi Movement;;Empty description (localization key exists);
CHI_shipping_tunnels;Shipping Tunnels;;Empty description (localization key exists);
CHI_nationalize_walgreens;Nationalize Walgreens;;Empty description (localization key exists);
CHI_true_justice;True Justice;;Empty description (localization key exists);
CHI_second_3_year_plan;Second 3 Year Plan;;Empty description (localization key exists);
CHI_stairway_to_hell;Stairway to Hell;;Empty description (localization key exists);
CHI_5_year_plan;5 Year Plan;;Empty description (localization key exists);
CHI_heavy_speeders;Heavy Speeders;;Empty description (localization key exists);
SRO_Sniper_Cores;Sniper Corps;;Empty description (localization key exists);
SRO_beingings_of_socialist_eco;Beginnings of a Socialist Economy;;Empty description (localization key exists);
SRO_raise_the_red_militia;Raise the Red Militia;;Empty description (localization key exists);
SRO_towards_gift_economy;Towards Gift Economy;;Empty description (localization key exists);
SRO_Advanced_Anti_Tank;Advanced Anti Tank;;Empty description (localization key exists);
SRO_home_of_the_pacific_revolution;Home of the Pacific Revolution;;Empty description (localization key exists);
SRO_rapid_industialization;Rapid Industrialization;;Empty description (localization key exists);
SRO_towards_the_perputal_revolution;Towards the Perpetual Revolution;;Empty description (localization key exists);
SRO_resources;Virgin Lands Campaign;;Empty description (localization key exists);
SRO_Guards_Division;Guards Division;;Empty description (localization key exists);
SRO_Austoria_Steel_Works;Astoria Steel Works;;Empty description (localization key exists);
SRO_Advanced_Artillery;Advanced Artillery;;Empty description (localization key exists);
SRO_Importing_Foreign_Tanks;Importing Foreign Tanks;;Empty description (localization key exists);
SRO_The_Tank_Works;The Tank Works;;Empty description (localization key exists);
SRO_Steel_Investment;Steel Investment;;Empty description (localization key exists);
SRO_rebuild_civ_industry;Rebuild Civilian Industry;;Empty description (localization key exists);
SRO_oregon_path_to_socialism;Oregonian Path to Socialism;;Empty description (localization key exists);
SRO_Paramilitary_Training;Paramilitary Training;;Empty description (localization key exists);
SRO_Artificial_Fuels;Artificial Fuels;;Empty description (localization key exists);
SRO_begin_purge;Commence The Purges;;Empty description (localization key exists);
SRO_rebuild_oregon;The Path To Recovery;;Empty description (localization key exists);
SRO_Advanced_Gorillas;Advanced Guerrillas;;Empty description (localization key exists);
SRO_Tungsten_Investment;Tungsten Investment;;Empty description (localization key exists);
SRO_Union_Production_Act;Union Production Act;;Empty description (localization key exists);
SRO_The_Domestic_Garages;The Domestic Garages;;Empty description (localization key exists);
SRO_Indigenous_Armoured_Cars;Indigenous Armoured Cars;;Empty description (localization key exists);
SRO_Licence_Soviet_Weapons;License Soviet Weapons;;Empty description (localization key exists);
SRO_Workers_Auto_Plant;Workers Auto Plant;;Empty description (localization key exists);
SRO_Army_Research_Branch;Army Research Branch;;Empty description (localization key exists);
SRO_Advanced_Camoflauge;Advanced Camoflauge;;Empty description (localization key exists);
SRO_The_Red_Tank_Cores;The Red Tank Corps;;Empty description (localization key exists);
SRO_pure_bolshieism;Maintain Marxist-Leninism;;Empty description (localization key exists);
SRO_gentler_hand;Gentler Hand;;Empty description (localization key exists);
SRO_enfore_one_big_union;Enforce One Big Union;;Empty description (localization key exists);
SRO_democratic_centeralism;Democratic Centralism;;Empty description (localization key exists);
SRO_Red_Army_Halftracks;Red Army Halftracks;;Empty description (localization key exists);
SRO_Flame_Thrower_Obsessions;Flame Thrower Obsessions;;Empty description (localization key exists);
SRO_Advanced_Engineer_Cores;Advanced Engineer Cores;;Empty description (localization key exists);
SRO_Secret_Workshops;Secret Workshops;;Empty description (localization key exists);
SRO_follow_zinovievs_lead;Follow Zinoviev's Lead;;Empty description (localization key exists);
SRO_intensify_purge;Intensify Purge;;Empty description (localization key exists);
SRO_rebuild_mil_industry;Rebuild Military Industry;;Empty description (localization key exists);
SRO_national_guard_defectors;National Guard Defectors;;Empty description (localization key exists);
SRO_socialism_in_one_state;Socialism in One State;;Empty description (localization key exists);
SRO_Paratroopers_Of_People;Paratroopers Of People;;Empty description (localization key exists);
SRO_handle_on_purge;Handle on Purge;;Empty description (localization key exists);
SRO_Artificial_Fuels_Plant;Artificial Fuels Plant;;Empty description (localization key exists);
SRO_Formalization_Of_Our_Forces;Formalization Of Our Forces;;Empty description (localization key exists);
SRO_partyline;Partyline;;Empty description (localization key exists);
SRO_West_Coast_Tachanka;West Coast Tachanka;;Empty description (localization key exists);
SRO_portland_congress;Portland Congress;;Empty description (localization key exists);
SRO_A_Gun_For_Every_Man;A Gun For Every Man;;Empty description (localization key exists);
SRO_Mass_Produced_Rifles;Mass Produced Rifles;;Empty description (localization key exists);
SRO_example_of_klan;Example of Klan;;Empty description (localization key exists);
SRO_The_Marine_Focus;The Marine Focus;;Empty description (localization key exists);
SRO_true_syndicalism;True Syndicalism;;Empty description (localization key exists);
SRO_Improve_Cavalry_Divisions;Improve Cavalry Divisions;;Empty description (localization key exists);
SRO_a_moral_democratic_nationalist_path;A Moral Democratic Nationalist Path;;Empty description (localization key exists);
SRO_red_oregon;Red Oregon;;Empty description (localization key exists);
SRO_Improvised_Mortars;Improvised Mortars;;Empty description (localization key exists);
SRO_sword_to_plowshare;Sword to Plowshare;;Empty description (localization key exists);
SRO_Find_A_Role_For_Every_Man;Find A Role For Every Man;;Empty description (localization key exists);
SRO_Invite_International;Invite International;;Empty description (localization key exists);
SRO_breath_democracy_into_party;Breath Democracy into Party;;Empty description (localization key exists);
SRO_The_Union_Army;The Union Army;;Empty description (localization key exists);
SRO_Peoples_Army;Peoples Army;;Empty description (localization key exists);
SRO_Asking_International_for_Weapons;Asking International for Weapons;;Empty description (localization key exists);
SRO_autoworker_unions;Autoworker Unions;;Empty description (localization key exists);
SRO_Army_Rocket_Core;Army Rocket Corps;;Empty description (localization key exists);
SRO_Establish_Shock_Troops;Establish Shock Troops;;Empty description (localization key exists);
SRO_Emergency_Tank_Program;Emergency Tank Program;;Empty description (localization key exists);
SGA_double_down_on_segregation;[null];[null];Missing description (no localization key exists);
SGA_the_greater_georgia_plan;[null];[null];Missing description (no localization key exists);
SGA_seaprate_but_unequal;[null];[null];Missing description (no localization key exists);
SGA_georgian_economic_recovery;Georgian Economic Recovery;;Empty description (localization key exists);
SGA_improving_public_health;[null];[null];Missing description (no localization key exists);
SGA_establish_the_public_bonds_commitee;[null];[null];Missing description (no localization key exists);
SGA_1936_governmental_elections;[null];[null];Missing description (no localization key exists);
SGA_recyclingprograms;Recycling Programs;;Empty description (localization key exists);
SGA_improvingpublichealth;Improving Public Health;;Empty description (localization key exists);
SGA_expandingfortbenning;Expanding Fort Benning;;Empty description (localization key exists);
SGA_refineddoctrine;Refined Doctrine;;Empty description (localization key exists);
SGA_Farmers_insurrections;Farmers Insurrections;;Empty description (localization key exists);
SGA_arnall;Arnall;;Empty description (localization key exists);
SGA_revitalizingnorthgeorgiaoremines;Revitalizing North Georgia Ore Mines;;Empty description (localization key exists);
SGA_kindnessisavirtue;Kindness is a Virtue;;Empty description (localization key exists);
SGA_police_the_klan;[null];[null];Missing description (no localization key exists);
SGA_ifitaintbrokedontfixit;If it Ain't Broke, Don't Fix it;;Empty description (localization key exists);
SGA_establishingthepublicbondscomittee;Establishing the Public Bonds Committee;;Empty description (localization key exists);
SGA_The_Talmadge_Presidency;[null];[null];Missing description (no localization key exists);
SGA_separate_but_equal;[null];[null];Missing description (no localization key exists);
SGA_Talmadge_Takeover;[null];[null];Missing description (no localization key exists);
SGA_highway_department_reform;[null];[null];Missing description (no localization key exists);
SGA_the_southern_commitee;[null];[null];Missing description (no localization key exists);
SGA_bring_in_the_military;[null];[null];Missing description (no localization key exists);
SGA_aradioineveryhome;A Radio in Every Home;;Empty description (localization key exists);
SGA_Reforming_highway_department;Reforming Highway Department;;Empty description (localization key exists);
SGA_state_bureau_of_unemployment_compensation;[null];[null];Missing description (no localization key exists);
SGA_the_heist_of_the_century;[null];[null];Missing description (no localization key exists);
SGA_ED_Rivers_wins;[null];[null];Missing description (no localization key exists);
SGA_the_issue_of_segregation;[null];[null];Missing description (no localization key exists);
SGA_end_martial_law;[null];[null];Missing description (no localization key exists);
SGA_buildpublichousing;Build Public Housing;;Empty description (localization key exists);
SGA_digginginandholdingout;Digging in, and Holding Out;;Empty description (localization key exists);
SGA_a_series_of_unfortunate_events;[null];[null];Missing description (no localization key exists);
SGA_colored_work_crews;[null];[null];Missing description (no localization key exists);
SGA_Redwine_Presidency;[null];[null];Missing description (no localization key exists);
SGA_promote_urbanization;[null];[null];Missing description (no localization key exists);
SGA_first_georgia_state_education_bill;[null];[null];Missing description (no localization key exists);
SGA_createthestatebureauofunemploymentcompensation;Create the State Bureau of Unemployment Compensation;;Empty description (localization key exists);
SGA_expand_the_state_highway_commission;[null];[null];Missing description (no localization key exists);
SGA_armyofoffense;Army of Offense;;Empty description (localization key exists);
SGA_Georgia_Riders;Georgia Riders;;Empty description (localization key exists);
SGA_gone_with_the_wind_holiday;[null];[null];Missing description (no localization key exists);
SGA_desegregate_the_military;[null];[null];Missing description (no localization key exists);
SGA_qualityoverquantity;Quality over Quantity;;Empty description (localization key exists);
SGA_Charles_D_Redwine_wins;[null];[null];Missing description (no localization key exists);
SGA_forever_martial_law;[null];[null];Missing description (no localization key exists);
SGA_Purge_Stubborn_catholics;Purge Stubborn Catholics;;Empty description (localization key exists);
SGA_new_deal_politics;[null];[null];Missing description (no localization key exists);
SGA_georgiahousingauthority;Georgia Housing Authority;;Empty description (localization key exists);
SGA_declare_martial_law_highway_department;[null];[null];Missing description (no localization key exists);
SGA_expandingtheatlantasavannahhighway;Expanding the Atlanta-Savannah Highway;;Empty description (localization key exists);
SGA_equal_in_the_eyes_of_the_lord;[null];[null];Missing description (no localization key exists);
SGA_inchingthepresidentspowersforward;Inching the President's Powers Forward;;Empty description (localization key exists);
SGA_the_wild_man_from_sugar_creek;The Wild Man from Sugar Creek;;Empty description (localization key exists);
SGA_1942election;1942 Election;;Empty description (localization key exists);
SGA_tankengineering;Tank Engineering;;Empty description (localization key exists);
SGA_handle_the_highway_department;[null];[null];Missing description (no localization key exists);
SGA_thefederaldepotcommission;The Federal Depot Commission;;Empty description (localization key exists);
SGA_promotingurbanization;Promoting Urbanization;;Empty description (localization key exists);
SGA_stablize_the_government;[null];[null];Missing description (no localization key exists);
SGA_modernizingoldtactics;Modernizing Old Tactics;;Empty description (localization key exists);
SGA_kindness_is_a_virtue;[null];[null];Missing description (no localization key exists);
SGA_a_shift_in_balance;[null];[null];Missing description (no localization key exists);
SGA_payingtheteachers;Paying the Teachers;;Empty description (localization key exists);
SGA_rural_electification_association;[null];[null];Missing description (no localization key exists);
STL_motorization_effort1;[null];[null];Missing description (no localization key exists);
STL_research_modernization;Research Modernization;;Empty description (localization key exists);
STL_flexible_navy11;[null];[null];Missing description (no localization key exists);
STL_onward_christian_soilder;Onward Christian Soldier;;Empty description (localization key exists);
STL_production_effort;[null];[null];Missing description (no localization key exists);
STL_fighter_focus;[null];[null];Missing description (no localization key exists);
STL_rocket_effort;[null];[null];Missing description (no localization key exists);
STL_armor_effort;[null];[null];Missing description (no localization key exists);
STL_infrastructure_effort_2;[null];[null];Missing description (no localization key exists);
STL_equipment_effort_2;[null];[null];Missing description (no localization key exists);
STL_end_civil_war;End Civil War;;Empty description (localization key exists);
STL_isolationism;Isolationism;;Empty description (localization key exists);
STL_ask_bilbo_for_aide;Ask Bilbo for Aide;;Empty description (localization key exists);
STL_aviation_effort;[null];[null];Missing description (no localization key exists);
STL_aviation_effort_2;[null];[null];Missing description (no localization key exists);
STL_bomber_focus;[null];[null];Missing description (no localization key exists);
STL_mechanization_effort;[null];[null];Missing description (no localization key exists);
STL_large_navy1;[null];[null];Missing description (no localization key exists);
STL_thank_bilbo;Thank Bilbo;;Empty description (localization key exists);
STL_industrial_effort;[null];[null];Missing description (no localization key exists);
STL_destroyer_effort;[null];[null];Missing description (no localization key exists);
STL_construction_effort_3;[null];[null];Missing description (no localization key exists);
STL_naval_effort;[null];[null];Missing description (no localization key exists);
STL_rebuild_north_louisiana;Rebuild North Louisiana;;Empty description (localization key exists);
STL_capital_ships_effort;[null];[null];Missing description (no localization key exists);
STL_nuclear_effort;[null];[null];Missing description (no localization key exists);
STL_reward_our_friends;Reward Our Friends;;Empty description (localization key exists);
STL_end_poll_tax;End Poll Tax;;Empty description (localization key exists);
STL_extra_tech_slot;[null];[null];Missing description (no localization key exists);
STL_join_southern_committee;Join Southern Committee;;Empty description (localization key exists);
STL_pass_religious_freedom_bill;Pass Religious Freedom Bill;;Empty description (localization key exists);
STL_fortify_against_socialism;Fortify Against Socialism;;Empty description (localization key exists);
STL_populist_dream;Populist Dream;;Empty description (localization key exists);
STL_doctrine_effort;Doctrine Effort;;Empty description (localization key exists);
STL_bibles_for_everyone;Bibles for Everyone;;Empty description (localization key exists);
STL_AntiTank;[null];[null];Missing description (no localization key exists);
STL_cruiser_effort;[null];[null];Missing description (no localization key exists);
STL_submarine_effort;[null];[null];Missing description (no localization key exists);
STL_stamp_out_papalism;Stamp Out Papalism;;Empty description (localization key exists);
STL_construction_effort;[null];[null];Missing description (no localization key exists);
STL_equipment_effort_3;[null];[null];Missing description (no localization key exists);
STL_ban_the_klan;Ban the Klan;;Empty description (localization key exists);
STL_GEN_professional_garrisons;[null];[null];Missing description (no localization key exists);
STL_special_forces;[null];[null];Missing description (no localization key exists);
STL_extra_tech_slot_2;[null];[null];Missing description (no localization key exists);
